degree,uni,location,dates,titel,skills
Magister der Psychologie,Uni Wien,"Wien, Österreich",2000 – 2009,Diplomarbeit: “Zur Konstruktion eines adaptiven Persönlichkeits\-fragebogens auf Basis eines Konstruktions\-rationals“,"Anwendung von: Linear Logistisches Testmodell von Fischer (LLTM), Rasch Modell, R"
Bakkalaureat in Statistik,Uni Wien,"Wien, Österreich",2007 – 2010,Bakkalaureatsarbeit: “Zur Optimierung der Item\-zusammenstellung beim Echtzeit-Strategie\-spiel dotA“,"Anwendung von: Linear Mixed Integer Programming, ZIMPL, R"
