content,group,start,end,ID,tooltip,position
Data Scientist bei Statistik Austria,Arbeit,2012-11-04,2024-12-31,1,Data Scientist bei Statistik Austria,7
LVs an Uni Wien (UA) und SFU,Lektor,2009-03-01,2018-01-31,2,Lehrveranstaltungen an Uni Wien (UA) und SFU,5
LV UA,Lektor,2023-03-01,2024-12-31,2,Lehrauftrag an der Uni Wien (UA),5
Freiberuflicher Psychologe und Statistiker,Arbeit,2009-01-01,2024-12-31,3,Gelegentlich freiberuflicher Psychologe und Statistiker,6
Psychologiestudium (Mag),Studium,2000-10-01,2009-03-26,4,Psychologiestudium (Mag),1
Stat. (Bakk),Studium,2007-10-01,2010-07-01,5,Statistikstudium (Bakk),2
WU,Uni,2011-04-11,2012-10-31,6,Prae Doc Assistent WU Wien,3
Uni Wien,Uni,2006-01-01,2011-01-31,7,Projektmitarbeiter und Prae Doc Assistent Uni Wien,4
